DAY,TEXT,TYPE,PERFORMANCE,TIME,SENDER,IMAGE_FOLDER,IMAGE,BUTTON_1_TEXT,BUTTON_2_TEXT,EVENT_FLAG
1,"Alex, your manager, has something to tell you.",message,default,end,cogni,,,Got it.,Ugh. Here we go…,
1,"Great work! Your ratings put you squarely in the 90th percentile of labelers. Keep up the good work!

Happy labeling!",message,good,end,supervisor,,,A hard day’s work!,,
1,"Your work needs improvement. The next set of questions will be more challenging. 

Happy labeling!",message,neutral,end,supervisor,,,A hard day’s work!,,
1,"I’m a little concerned about your performance. Think about how you might improve. 

Happy labeling!",message,bad,end,supervisor,,,A hard day’s work!,,
1,You did what you felt was right. So why do you feel so anxious?,message,flag_dependent,end,stranger,,,Nice. Can't wait to move to a cabin in the woods.,,became_unabomber
1,You're advancing in your job. So why do you feel conflicted?,message,flag_dependent,end,supervisor,,,Nice. Don't want to move to a cabin in the woods.,,not_unabomber
1,Official opening of Montana Resettlement Zone.,news,default,end,,tv_content,refugee.jpg,,,
,Immigration reform stalls over issue of illegal aliens.,news,good,end,,tv_content,congress.jpg,,,
1,Congress makes progress on the legal status of aliens.,news,bad,end,,tv_content,congress.jpg,,,
1,Scientists: alien camouflage 'amazing.’,news,default,end,,tv_content,facial_recognition.jpg,,,
1,Economic data reveals low consumer confidence.,news,default,end,,tv_content,economy.jpg,,,
1,Pope to consider "alien issue.",news,default,end,,tv_content,pope.jpg,,,
1,Oldest woman alive speaks out against aliens.,news,good,end,,tv_content,oldest_woman.jpg,,,
1,Oldest woman alive voices support for visitors.,news,bad,end,,tv_content,oldest_woman.jpg,,,
1,Anti-immigration protests erupt over Federal proposals.,news,good,end,,tv_content,protesters.jpg,,,
1,Pro-alien rights groups gather in D.C.,news,bad,end,,tv_content,protesters.jpg,,,
1,Mittens Follow-Up (results),sticky_note,default,end,,,,,,
1,Clean apartment,sticky_note,default,end,,,,,,
1,Request rent extension,sticky_note,bad,end,,,,,,
1,bank deposit,sticky_note,good,end,,,,,,
1,Research side hustle?,sticky_note,bad,end,,,,,,
1,Ebay bid!,sticky_note,good,end,,,,,,
1,Freelance gigs stress me out.,dream,default,end,,,,But this offers great flexibility!,They don’t give a shit about me.,
1,Maybe I can salvage this?,dream,default,end,,,,Labeling is easy money!,I should look for other gigs.,
1,Dataville’s mission…,dream,default,end,,,,Is helping humanity!,Makes me nervous.,
1,Back to work.,dream,default,end,,,,,,
1,,,,,,,,,,
1,,,,,,,,,,
1,,,,,,,,,,
1,,,,,,,,,,
1,,,,,,,,,,
1,,,,,,,,,,
1,,,,,,,,,,
1,,,,,,,,,,
1,,,,,,,,,,
1,,,,,,,,,,
1,,,,,,,,,,
1,,,,,,,,,,
1,,,,,,,,,,
1,,,,,,,,,,
1,,,,,,,,,,
1,,,,,,,,,,
1,,,,,,,,,,
1,,,,,,,,,,
