DAY,TEXT,TYPE,PERFORMANCE,TIME,SENDER,IMAGE_FOLDER,IMAGE,BUTTON_1_TEXT,BUTTON_2_TEXT,EVENT_FLAG
2,"“You have a work message from:
Alex T Manager @ Dataville”",message,default,end,cogni,,,Got it.,Ugh. Here we go…,
2,"Alex T Manager @ DataVille
Subject: Performance Review

You’ve done it again! Your performance ratings are eligible for the incentive bonus. Based on your exceptional levels of accuracy and speed, we’re going to begin giving you more important (and difficult) assignments. Please keep up the great work. Humanity is depending on you. 

Happy labeling!
-Alex T
",message,good,end,supervisor,,,A hard day’s work!,,
2,"Alex T Manager @ DataVille
Subject: Performance Review

Thanks for all your hard work. Take a moment to review your metrics. There are some parts that could be improved. Unfortunately, your performance is not eligible for an incentive bonus at this time. Let’s try to raise those scores on the next set. It will be more challenging, so keep at it. Humanity is depending on you.

Happy labeling!
-Alex T
",message,neutral,end,supervisor,,,A hard day’s work!,,
2,"Alex T Manager @ DataVille
Subject: Performance Review

I’ve been reviewing your output and I’m disappointed to say your performance metrics are ranking poorly. Let me know if there’s anything I can do to get those numbers up. If these low numbers continue, we’ll need to make a performance improvement plan. Please take your time and do your best. Humanity is depending on you. 

Happy labeling!
-Alex T
",message,bad,end,supervisor,,,A hard day’s work!,,
2,"“You have a work message from:
ARE YOU GETTING THESE? @ [source_undefined]”",message,default,end,cogni,,,This looks weird.,,
2,"“ARE YOU GETTING THESE? @ [source_undefined]
Subject: VERY IMPORTANT!

“The AI detection is the key. If they can’t detect us, they can’t get us! Please do everything you can to undercut their accuracy! Your choices give them power! We have families. We have feelings just like–”

The message terminates abruptly.
",message,default,end,stranger,,,Back to work!,I’ll think about that.,
2,"You have a work message from:
Tim 18/48 @ Dataville
",message,default,end,cogni,,,What’s all this?,,
2,"As a reminder, extracurricular activities and non-work related subjects are forbidden in the employee code of conduct.",message,default,end,cogni,,,"Thanks, Cogni.",*Shrug*,
2,"Tim 18/48 @ DataVille
Subject: Improving Working Conditions

Hi. I’m Tim. I’m an image labeler. Have you had any strange experiences with DataVille? A group of us have been gathering information and found:
-Harsh write-ups over trivial or inconsistent criticism.
-Labelers not receiving their paychecks (or not getting the full amount).
-Sudden and unexplained firings.
-Labelers not receiving their final paycheck (sometimes upwards of 2k unpaid!).


Our group intends to take these findings to management and file an official complaint. Can we count on your support?

In solidarity,
-Tim (section 18, cohort 48)
",message,default,end,union,,,I’ll voice my support!,Maybe later.,
2,Tragedy at Montana Resettlement Zone.,news,good,end,,,,,,
2,Senator pledges ‘humanitarian support’ at Resettlement Zone.,news,bad,end,,,,,,
2,Hundreds arrested at clandestine alien meeting.,news,good,end,,,,,,
2,Defense Department audit flags privatization concerns.,news,bad,end,,,,,,
2,Chef Tony refuses to serve illegal aliens.,news,good,end,,,,,,
2,Chef Tony prepares hot meals for D.C. protestors.,news,bad,end,,,,,,
2,Schools install alien detectors.,news,good,end,,,,,,
2,Universities face pressure over alien applications.,news,neutral,end,,,,,,
2,Universities officially admit first alien students.,news,bad,end,,,,,,
2,Pope takes stand against ‘invaders.’,news,good,end,,,,,,
2,Pope officially welcomes ‘alien brothers.’,news,bad,end,,,,,,
2,Beautiful celebrities reject demands for alien inclusion.,news,good,end,,,,,,
2,Oscar night delivers big wins for alien artists.,news,bad,end,,,,,,
2,Mittens followup @ vet,sticky_note,bad,end,,,,,,
2,yoga,sticky_note,good,end,,,,,,
2,Sympathy flowers for mom,sticky_note,bad,end,,,,,,
2,Birthday gift 4 mom,sticky_note,good,end,,,,,,
2,Credit card refinance?,sticky_note,bad,end,,,,,,
2,Phone upgrade,sticky_note,good,end,,,,,,
2,Remake resume,sticky_note,bad,end,,,,,,
2,Clean bathroom,sticky_note,good,end,,,,,,
2,I feel like I am in the driver's seat of my life.,dream,default,end,,,,Discipline is key!,And I'm driving off a cliff.,
2,This isn't how I imagined my life would be at this age.,dream,default,end,,,,But tomorrow is a new day!,Maybe I should go back to college.,
2,Maybe I can find meaning in making the world...,dream,default,end,,,,A safer place.,A fairer place.,
2,Back to work.,dream,default,end,,,,,,
